quarter,department,day,team,targeted_productivity,standard_minute_value,work_in_progress,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
Quarter2,finishing,Saturday,7,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.54 - 0.69
Quarter2,finishing,Tuesday,7,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.54 - 0.69
Quarter4,finishing,Thursday,4,0.65 - 0.80,2.90 - 13.23,N/A,5184 - 10368,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.54 - 0.69
Quarter3,finishing,Saturday,8,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.54 - 0.69
Quarter1,finishing,Thursday,8,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.54 - 0.69
Quarter1,finishing,Monday,7,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.54 - 0.69
Quarter1,finishing,Tuesday,8,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.54 - 0.69
Quarter1,finishing,Wednesday,8,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.54 - 0.69
Quarter2,finishing,Thursday,7,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.54 - 0.69
Quarter2,finishing,Tuesday,8,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.54 - 0.69
Quarter1,finishing,Sunday,8,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.54 - 0.69
Quarter3,finishing,Monday,8,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.54 - 0.69
Quarter1,finishing,Wednesday,12,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.54 - 0.69
Quarter3,finishing,Thursday,7,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.54 - 0.69
Quarter3,finishing,Sunday,7,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.54 - 0.69
Quarter1,finishing,Saturday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Sunday,12,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Thursday,10,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter2,finishing,Thursday,3,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter4,finishing,Wednesday,4,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter2,finishing,Monday,8,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter3,finishing,Tuesday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter2,finishing,Thursday,8,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Monday,12,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter4,finishing,Thursday,5,0.65 - 0.80,2.90 - 13.23,N/A,5184 - 10368,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter4,finishing,Sunday,7,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Thursday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter4,finishing,Wednesday,12,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter3,finishing,Wednesday,5,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Sunday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Monday,5,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Monday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter4,finishing,Monday,12,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter5,finishing,Thursday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter4,finishing,Tuesday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Tuesday,12,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter2,finishing,Thursday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Saturday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter4,finishing,Tuesday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Sunday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter3,finishing,Monday,12,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter4,finishing,Tuesday,7,0.36 - 0.50,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Monday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Wednesday,7,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter3,finishing,Sunday,6,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Wednesday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Tuesday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter2,finishing,Tuesday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Monday,4,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter2,finishing,Monday,5,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Tuesday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Wednesday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter2,finishing,Saturday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter2,finishing,Monday,6,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter2,finishing,Saturday,11,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter2,finishing,Wednesday,3,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter2,finishing,Sunday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Monday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter2,finishing,Tuesday,5,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter2,finishing,Thursday,5,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter4,finishing,Tuesday,12,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter3,finishing,Saturday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter3,finishing,Wednesday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Wednesday,4,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter2,finishing,Sunday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Wednesday,3,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter2,finishing,Thursday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter2,finishing,Wednesday,7,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter3,finishing,Sunday,11,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter4,finishing,Wednesday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter1,finishing,Sunday,4,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter4,finishing,Tuesday,8,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.69 - 0.84
Quarter2,finishing,Saturday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter3,finishing,Sunday,5,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter5,finishing,Thursday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter5,finishing,Thursday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Monday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Tuesday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Saturday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Sunday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Monday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Tuesday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Wednesday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter3,finishing,Thursday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Saturday,12,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter3,finishing,Thursday,5,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Sunday,4,0.65 - 0.80,2.90 - 13.23,N/A,5184 - 10368,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.84 - 1.00
Quarter4,finishing,Tuesday,3,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter5,finishing,Thursday,11,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Wednesday,5,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Saturday,7,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Sunday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Monday,3,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter5,finishing,Thursday,8,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Wednesday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Monday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter3,finishing,Thursday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter3,finishing,Saturday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Thursday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Sunday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Tuesday,11,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Thursday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Wednesday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Sunday,7,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Monday,4,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Saturday,3,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Saturday,11,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter5,finishing,Thursday,6,0.36 - 0.50,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Tuesday,3,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Tuesday,3,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Wednesday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Saturday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Monday,3,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Wednesday,4,0.21 - 0.36,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Monday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Monday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Saturday,8,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Saturday,4,0.65 - 0.80,2.90 - 13.23,N/A,5184 - 10368,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.84 - 1.00
Quarter3,finishing,Wednesday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Sunday,2,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Tuesday,10,0.65 - 0.80,2.90 - 13.23,N/A,5184 - 10368,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.84 - 1.00
Quarter1,finishing,Sunday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Thursday,4,0.65 - 0.80,2.90 - 13.23,N/A,10368 - 15552,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.84 - 1.00
Quarter1,finishing,Tuesday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Sunday,4,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,19.4 - 36.8,0.84 - 1.00
Quarter4,finishing,Tuesday,5,0.36 - 0.50,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Saturday,3,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Sunday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Wednesday,11,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Sunday,3,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Tuesday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Saturday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Monday,11,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Tuesday,4,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Thursday,10,0.65 - 0.80,2.90 - 13.23,N/A,5184 - 10368,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Monday,4,0.21 - 0.36,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Saturday,3,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Wednesday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Thursday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Sunday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Tuesday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Wednesday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Tuesday,4,0.21 - 0.36,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Sunday,4,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter3,finishing,Thursday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter2,finishing,Monday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Sunday,10,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Saturday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Thursday,7,0.50 - 0.65,2.90 - 13.23,N/A,5184 - 10368,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter3,finishing,Monday,5,0.50 - 0.65,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Monday,5,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Monday,1,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Sunday,3,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Monday,4,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter3,finishing,Monday,9,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter4,finishing,Saturday,5,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
Quarter1,finishing,Tuesday,4,0.65 - 0.80,2.90 - 13.23,N/A,0 - 5184,0 - 720,0 - 60,0 - 9,0,2.0 - 19.4,0.84 - 1.00
