targeted_productivity,standard_minute_value,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
0.75,2.9,1800,0,0,0,0,15,yes
0.8,15.26,4080,63,0,0,0,34,yes
0.8,30.1,6960,63,0,0,1,58,yes
0.8,11.41,3420,50,0,0,0,58,yes
0.8,2.9,960,0,0,0,0,8,yes
0.75,21.82,6000,34,0,0,0,50,yes
0.75,18.79,6240,45,0,0,0,52,yes
0.7,3.9,960,0,0,0,0,8,yes
0.7,30.48,6840,30,0,0,1,57,no
0.7,23.41,4560,30,0,0,1,38,maybe
0.7,16.1,5400,40,0,0,1,45,no
0.65,26.82,7080,26,0,0,1,59,yes
0.6,30.48,6840,25,0,0,1,57,yes
0.65,3.9,960,0,0,0,0,8,yes
0.5,3.9,960,0,0,0,0,8,yes
0.7,2.9,960,0,0,0,0,8,yes
0.8,4.6,2160,0,0,0,0,9,yes
0.8,2.9,2400,0,0,0,0,10,yes
0.75,3.9,1920,0,0,0,0,8,yes
0.75,3.94,1920,0,0,0,0,8,yes
0.75,3.94,1920,0,0,0,0,8,yes
0.8,15.26,4080,63,0,0,0,34,yes
0.8,30.1,6960,63,0,0,1,58,yes
0.8,11.41,3420,50,0,0,0,58,yes
0.8,4.6,1920,0,0,0,0,8,yes
0.7,3.94,1440,0,0,0,0,12,yes
0.75,21.82,6000,34,0,0,0,50,yes
0.75,18.79,5040,45,0,0,0,52,yes
0.75,16.1,5400,45,0,0,1,45,yes
0.75,26.82,7080,45,0,0,0,59,yes
0.75,26.82,7080,45,0,0,0,59,yes
0.7,26.82,6960,30,0,0,1,58,yes
0.7,30.48,6840,30,0,0,1,57,yes
0.7,23.41,4560,40,0,0,1,38,yes
0.65,30.48,6840,26,0,0,1,57,yes
0.75,2.9,960,0,0,0,0,8,yes
0.7,3.9,960,0,0,0,0,8,yes
0.65,3.9,960,0,0,0,0,8,yes
0.75,2.9,1800,0,0,0,0,15,yes
0.7,2.9,720,0,0,0,0,6,yes
