quarter,day,team,targeted_productivity,over_time,incentive,no_of_workers,actual_productivity
Quarter1,Saturday,4,0.65 - 0.80,5184 - 10368,0 - 720,19.4 - 36.8,0.84 - 1.00
Quarter3,Thursday,4,0.21 - 0.36,0 - 5184,0 - 720,19.4 - 36.8,0.84 - 1.00
Quarter5,Thursday,4,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Sunday,3,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Monday,9,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter1,Tuesday,1,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter4,Monday,10,0.65 - 0.80,0 - 5184,0 - 720,19.4 - 36.8,0.84 - 1.00
Quarter1,Tuesday,2,0.65 - 0.80,0 - 5184,0 - 720,19.4 - 36.8,0.84 - 1.00
Quarter1,Sunday,8,0.50 - 0.65,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter3,Tuesday,5,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
Quarter4,Monday,3,0.65 - 0.80,0 - 5184,0 - 720,2.0 - 19.4,0.84 - 1.00
